Date,Ethereum Value Prediction
1/1/22 23:59,2581.68712
1/2/22 23:59,2525.776116
1/3/22 23:59,2326.053716
1/4/22 23:59,2060.940222
1/5/22 23:59,2381.617622
1/6/22 23:59,2572.44527
1/7/22 23:59,2781.915108
1/8/22 23:59,2765.680115
1/9/22 23:59,2548.8623
1/10/22 23:59,2387.714762
1/11/22 23:59,2330.511161
1/12/22 23:59,2497.680121
1/13/22 23:59,2635.449124
1/14/22 23:59,2678.396939
1/15/22 23:59,2779.469596
1/16/22 23:59,2709.901501
1/17/22 23:59,2687.859304
1/18/22 23:59,2679.801744
1/19/22 23:59,2714.590119
1/20/22 23:59,2468.196424
1/21/22 23:59,2518.634238
1/22/22 23:59,2527.67968
1/23/22 23:59,2411.142146
1/24/22 23:59,2356.492935
1/25/22 23:59,2430.00404
1/26/22 23:59,2537.910537
1/27/22 23:59,2577.191156
1/28/22 23:59,2454.489686
1/29/22 23:59,2384.738483
1/30/22 23:59,2262.251712
1/31/22 23:59,2223.649961
2/1/22 23:59,2162.672653
2/2/22 23:59,2063.324747
2/3/22 23:59,1850.380209
2/4/22 23:59,1935.550963
2/5/22 23:59,1959.885718
2/6/22 23:59,1906.079944
2/7/22 23:59,1784.869622
2/8/22 23:59,1895.601995
2/9/22 23:59,2051.710451
2/10/22 23:59,2159.23951
2/11/22 23:59,2186.87485
2/12/22 23:59,2177.739238
2/13/22 23:59,2088.710652
2/14/22 23:59,2177.578584
2/15/22 23:59,2287.56228
2/16/22 23:59,2242.482115
2/17/22 23:59,2272.10713
2/18/22 23:59,2284.993086
2/19/22 23:59,2297.265534
2/20/22 23:59,2309.189226
2/21/22 23:59,2320.500485
2/22/22 23:59,2331.618735
2/23/22 23:59,2342.432098
2/24/22 23:59,2352.748722
2/25/22 23:59,2362.000623
2/26/22 23:59,2371.678378
2/27/22 23:59,2381.477806
2/28/22 23:59,2391.008206
3/1/22 23:59,2399.932554
3/2/22 23:59,2409.410564
3/3/22 23:59,2419.669116
3/4/22 23:59,2430.465314
3/5/22 23:59,2441.399688
3/6/22 23:59,2452.288384
3/7/22 23:59,2462.731938
3/8/22 23:59,2473.61983
3/9/22 23:59,2485.057642
3/10/22 23:59,2496.270052
3/11/22 23:59,2507.630588
3/12/22 23:59,2519.055554
3/13/22 23:59,2530.541881
3/14/22 23:59,2542.087827
3/15/22 23:59,2553.69033
3/16/22 23:59,2565.348423
3/17/22 23:59,2577.060584
3/18/22 23:59,2588.824328
3/19/22 23:59,2600.634331
3/20/22 23:59,2612.492723
3/21/22 23:59,2624.400112
3/22/22 23:59,2636.355153
3/23/22 23:59,2648.354815
3/24/22 23:59,2660.401868
3/25/22 23:59,2672.500214
3/26/22 23:59,2684.65254
3/27/22 23:59,2696.859539
3/28/22 23:59,2709.120981
3/29/22 23:59,2721.43464
3/30/22 23:59,2733.80274
3/31/22 23:59,2746.228028
4/1/22 23:59,2758.709378
4/2/22 23:59,2771.247531
4/3/22 23:59,2783.842809
4/4/22 23:59,2796.495518
4/5/22 23:59,2809.205957
4/6/22 23:59,2821.974409
4/7/22 23:59,2834.801151
4/8/22 23:59,2847.686454
4/9/22 23:59,2860.630576
4/10/22 23:59,2873.633747
4/11/22 23:59,2886.696211
4/12/22 23:59,2899.818211
4/13/22 23:59,2912.999987
4/14/22 23:59,2926.241761
4/15/22 23:59,2939.543771
4/16/22 23:59,2952.906272
4/17/22 23:59,2966.329534
4/18/22 23:59,2979.813832
4/19/22 23:59,2993.359437
4/20/22 23:59,3006.96661
4/21/22 23:59,3020.635624
4/22/22 23:59,3034.366764
4/23/22 23:59,3048.160311
4/24/22 23:59,3062.016549
4/25/22 23:59,3075.935763
4/26/22 23:59,3089.91824
4/27/22 23:59,3103.96427
4/28/22 23:59,3118.074142
4/29/22 23:59,3132.248148
4/30/22 23:59,3146.48658
5/1/22 23:59,3160.789733
5/2/22 23:59,3175.157902
5/3/22 23:59,3189.591383
5/4/22 23:59,3204.090474
5/5/22 23:59,3218.655474
5/6/22 23:59,3233.286682
5/7/22 23:59,3247.984401
5/8/22 23:59,3262.748933
5/9/22 23:59,3277.58058
5/10/22 23:59,3292.47965
5/11/22 23:59,3307.446447
5/12/22 23:59,3322.48128
5/13/22 23:59,3337.584458
5/14/22 23:59,3352.756292
5/15/22 23:59,3367.997093
5/16/22 23:59,3383.307176
5/17/22 23:59,3398.686855
5/18/22 23:59,3414.136446
5/19/22 23:59,3429.656267
5/20/22 23:59,3445.246638
5/21/22 23:59,3460.907879
5/22/22 23:59,3476.640312
5/23/22 23:59,3492.44426
5/24/22 23:59,3508.32005
5/25/22 23:59,3524.268007
5/26/22 23:59,3540.288459
5/27/22 23:59,3556.381737
5/28/22 23:59,3572.54817
5/29/22 23:59,3588.788092
5/30/22 23:59,3605.101837
5/31/22 23:59,3621.48974
6/1/22 23:59,3637.952138
6/2/22 23:59,3654.48937
6/3/22 23:59,3671.101776
6/4/22 23:59,3687.789699
6/5/22 23:59,3704.55348
6/6/22 23:59,3721.393466
6/7/22 23:59,3738.310002
6/8/22 23:59,3755.303436
6/9/22 23:59,3772.374118
6/10/22 23:59,3789.522399
6/11/22 23:59,3806.748633
6/12/22 23:59,3824.053172
6/13/22 23:59,3841.436373
6/14/22 23:59,3858.898595
6/15/22 23:59,3876.440195
6/16/22 23:59,3894.061535
6/17/22 23:59,3911.762977
6/18/22 23:59,3929.544886
6/19/22 23:59,3947.407627
6/20/22 23:59,3965.351567
6/21/22 23:59,3983.377077
6/22/22 23:59,4001.484525
6/23/22 23:59,4019.674286
6/24/22 23:59,4037.946733
6/25/22 23:59,4056.302242
6/26/22 23:59,4074.74119
6/27/22 23:59,4093.263958
6/28/22 23:59,4111.870925
6/29/22 23:59,4130.562475
6/30/22 23:59,4127.701844
7/1/22 23:59,4124.828211
7/2/22 23:59,4121.941514
7/3/22 23:59,4119.041696
7/4/22 23:59,4116.128696
7/5/22 23:59,4113.202454
7/6/22 23:59,4110.262911
7/7/22 23:59,4107.310004
7/8/22 23:59,4104.343675
7/9/22 23:59,4101.363861
7/10/22 23:59,4098.370502
7/11/22 23:59,4095.363535
