Date,Polkadot
1/1/22 23:59,42.35813014
1/2/22 23:59,42.28331537
1/3/22 23:59,41.51557319
1/4/22 23:59,41.91667059
1/5/22 23:59,42.44976255
1/6/22 23:59,41.94830134
1/7/22 23:59,41.41308263
1/8/22 23:59,41.67391389
1/9/22 23:59,42.21138439
1/10/22 23:59,42.66506295
1/11/22 23:59,42.51805069
1/12/22 23:59,42.40623859
1/13/22 23:59,41.81361061
1/14/22 23:59,41.83059087
1/15/22 23:59,40.98728249
1/16/22 23:59,36.44775258
1/17/22 23:59,31.41155214
1/18/22 23:59,33.66632348
1/19/22 23:59,35.25102781
1/20/22 23:59,34.66487555
1/21/22 23:59,32.83631756
1/22/22 23:59,33.78812404
1/23/22 23:59,35.11378802
1/24/22 23:59,37.08964002
1/25/22 23:59,41.58790462
1/26/22 23:59,41.63140474
1/27/22 23:59,42.04043691
1/28/22 23:59,42.58064282
1/29/22 23:59,42.07424059
1/30/22 23:59,41.5427091
1/31/22 23:59,41.81794442
2/1/22 23:59,42.36568829
2/2/22 23:59,42.82125656
2/3/22 23:59,42.6704523
2/4/22 23:59,42.56493644
2/5/22 23:59,41.97390421
2/6/22 23:59,41.99749989
2/7/22 23:59,41.16717704
2/8/22 23:59,36.62384851
2/9/22 23:59,31.57347733
2/10/22 23:59,33.83772721
2/11/22 23:59,35.42350141
2/12/22 23:59,34.82732343
2/13/22 23:59,32.99925954
2/14/22 23:59,33.95433805
2/15/22 23:59,35.27404203
2/16/22 23:59,37.25477379
2/17/22 23:59,36.10809717
2/18/22 23:59,35.70249952
2/19/22 23:59,41.9920893
2/20/22 23:59,42.52876427
2/21/22 23:59,42.52876428
2/22/22 23:59,42.52876428
2/23/22 23:59,42.52876428
2/24/22 23:59,42.52876428
2/25/22 23:59,42.52876428
2/26/22 23:59,42.52876428
2/27/22 23:59,42.52876428
2/28/22 23:59,42.52876428
3/1/22 23:59,42.52876428
3/2/22 23:59,42.52876428
3/3/22 23:59,42.52876428
3/4/22 23:59,42.52876428
3/5/22 23:59,42.52876428
3/6/22 23:59,42.52876428
3/7/22 23:59,42.52876428
3/8/22 23:59,42.52876428
3/9/22 23:59,42.52876428
3/10/22 23:59,42.52876428
3/11/22 23:59,42.52876428
3/12/22 23:59,42.52876428
3/13/22 23:59,42.52876428
3/14/22 23:59,42.52876428
3/15/22 23:59,42.52876428
3/16/22 23:59,42.52876428
3/17/22 23:59,42.52876428
3/18/22 23:59,42.52876428
3/19/22 23:59,42.52876428
3/20/22 23:59,42.52876428
3/21/22 23:59,42.52876428
3/22/22 23:59,43.93200401
3/23/22 23:59,43.71173504
3/24/22 23:59,43.99589377
3/25/22 23:59,44.00730122
3/26/22 23:59,43.79302059
3/27/22 23:59,43.74336989
3/28/22 23:59,43.76661149
3/29/22 23:59,43.86816873
3/30/22 23:59,43.99925265
3/31/22 23:59,43.90263697
4/1/22 23:59,43.94176618
4/2/22 23:59,43.77766287
4/3/22 23:59,43.77654238
4/4/22 23:59,43.59556671
4/5/22 23:59,43.32491596
4/6/22 23:59,43.04648423
4/7/22 23:59,43.31228624
4/8/22 23:59,43.45488126
4/9/22 23:59,43.42921604
4/10/22 23:59,43.36300274
4/11/22 23:59,43.49102188
4/12/22 23:59,43.57921838
4/13/22 23:59,43.66379617
4/14/22 23:59,43.60752955
4/15/22 23:59,43.64677573
4/16/22 23:59,43.60145822
4/17/22 23:59,43.69238576
4/18/22 23:59,43.70524887
4/19/22 23:59,43.6515966
4/20/22 23:59,38.77901659
4/21/22 23:59,39.09368655
4/22/22 23:59,38.68774551
4/23/22 23:59,38.67144914
4/24/22 23:59,38.97756433
4/25/22 23:59,39.04849391
