Date,Ethereum_Value Prediction ($)
1/1/22 23:59,2363.481473
1/2/22 23:59,2411.145092
1/3/22 23:59,2451.918601
1/4/22 23:59,2488.974102
1/5/22 23:59,2523.4786
1/6/22 23:59,2556.014365
1/7/22 23:59,2586.926806
1/8/22 23:59,2616.446406
1/9/22 23:59,2644.74068
1/10/22 23:59,2671.939305
1/11/22 23:59,2698.147442
1/12/22 23:59,2723.453318
1/13/22 23:59,2747.932807
1/14/22 23:59,2771.652336
1/15/22 23:59,2794.67083
1/16/22 23:59,2817.041061
1/17/22 23:59,2838.810624
1/18/22 23:59,2860.022677
1/19/22 23:59,2880.716511
1/20/22 23:59,2900.928012
1/21/22 23:59,2920.690037
1/22/22 23:59,2940.032735
1/23/22 23:59,2958.983812
1/24/22 23:59,2977.568774
1/25/22 23:59,2995.811129
1/26/22 23:59,3013.73257
1/27/22 23:59,3031.353141
1/28/22 23:59,3048.69138
1/29/22 23:59,3065.764448
1/30/22 23:59,3082.588253
1/31/22 23:59,3099.177551
2/1/22 23:59,3115.546048
2/2/22 23:59,3131.706483
2/3/22 23:59,3147.670711
2/4/22 23:59,3163.449774
2/5/22 23:59,3179.05397
2/6/22 23:59,3194.492908
2/7/22 23:59,3209.775568
2/8/22 23:59,3224.910348
2/9/22 23:59,3239.90511
2/10/22 23:59,3254.767223
2/11/22 23:59,3269.503602
2/12/22 23:59,3284.120737
2/13/22 23:59,3298.624735
2/14/22 23:59,3313.021339
2/15/22 23:59,3327.31596
2/16/22 23:59,3341.513701
2/17/22 23:59,3355.61938
2/18/22 23:59,3369.637548
2/19/22 23:59,3383.57251
2/20/22 23:59,3397.428343
2/21/22 23:59,3411.20891
2/22/22 23:59,3424.917874
2/23/22 23:59,3438.558716
2/24/22 23:59,3452.134742
2/25/22 23:59,3465.649099
2/26/22 23:59,3479.104782
2/27/22 23:59,3492.504645
2/28/22 23:59,3505.851413
3/1/22 23:59,3519.147684
3/2/22 23:59,3532.395942
3/3/22 23:59,3545.598565
3/4/22 23:59,3558.757824
3/5/22 23:59,3571.875898
3/6/22 23:59,3584.954875
3/7/22 23:59,3597.996758
3/8/22 23:59,3611.003471
3/9/22 23:59,3623.97686
3/10/22 23:59,3636.918704
3/11/22 23:59,3649.830712
3/12/22 23:59,3662.71453
3/13/22 23:59,3675.571745
3/14/22 23:59,3688.403886
3/15/22 23:59,3701.212431
3/16/22 23:59,3713.998803
3/17/22 23:59,3726.764379
3/18/22 23:59,3739.510492
3/19/22 23:59,3752.238428
3/20/22 23:59,3764.949433
3/21/22 23:59,3777.644715
3/22/22 23:59,3790.325443
3/23/22 23:59,3802.992752
3/24/22 23:59,3815.64774
3/25/22 23:59,3828.291477
3/26/22 23:59,3840.925
3/27/22 23:59,3853.549315
3/28/22 23:59,3866.165403
3/29/22 23:59,3878.774217
3/30/22 23:59,3891.376683
3/31/22 23:59,3903.973706
4/1/22 23:59,3916.566164
4/2/22 23:59,3929.154914
4/3/22 23:59,3941.740792
4/4/22 23:59,3954.324613
4/5/22 23:59,3966.907173
4/6/22 23:59,3979.489248
4/7/22 23:59,3992.071597
4/8/22 23:59,4004.654961
4/9/22 23:59,4017.240065
4/10/22 23:59,4029.827616
4/11/22 23:59,4042.41831
4/12/22 23:59,4055.012823
4/13/22 23:59,4067.61182
4/14/22 23:59,4080.215952
4/15/22 23:59,4092.825856
4/16/22 23:59,4105.442158
4/17/22 23:59,4118.06547
4/18/22 23:59,4130.696394
4/19/22 23:59,4143.335518
4/20/22 23:59,4155.983423
4/21/22 23:59,4168.640677
4/22/22 23:59,4181.307839
4/23/22 23:59,4193.985456
4/24/22 23:59,4206.67407
4/25/22 23:59,4219.374209
4/26/22 23:59,4232.086397
4/27/22 23:59,4244.811146
