Date,
1/1/22 23:59,26.13735616
1/2/22 23:59,26.89440737
1/3/22 23:59,26.5998989
1/4/22 23:59,25.9598205
1/5/22 23:59,27.22088914
1/6/22 23:59,33.0030838
1/7/22 23:59,30.81489518
1/8/22 23:59,32.58589693
1/9/22 23:59,36.28627646
1/10/22 23:59,36.56376472
1/11/22 23:59,39.10775754
1/12/22 23:59,44.47314166
1/13/22 23:59,45.84125555
1/14/22 23:59,44.55296827
1/15/22 23:59,43.79431849
1/16/22 23:59,43.5112372
1/17/22 23:59,42.75682779
1/18/22 23:59,45.93772198
1/19/22 23:59,47.93924718
1/20/22 23:59,47.02696572
1/21/22 23:59,45.03513097
1/22/22 23:59,44.12176406
1/23/22 23:59,43.78281866
1/24/22 23:59,43.74896851
1/25/22 23:59,44.46852217
1/26/22 23:59,45.2090794
1/27/22 23:59,42.71817455
1/28/22 23:59,42.45708575
1/29/22 23:59,45.71817297
1/30/22 23:59,41.4719963
1/31/22 23:59,42.38874473
2/1/22 23:59,42.38319767
2/2/22 23:59,47.20842419
2/3/22 23:59,47.58947369
2/4/22 23:59,52.24524206
2/5/22 23:59,43.47781589
2/6/22 23:59,41.78829458
2/7/22 23:59,40.74149354
2/8/22 23:59,35.63222032
2/9/22 23:59,25.78805403
2/10/22 23:59,28.29638487
2/11/22 23:59,29.61510095
2/12/22 23:59,33.12309515
2/13/22 23:59,33.32708892
2/14/22 23:59,31.28482495
2/15/22 23:59,27.88663912
2/16/22 23:59,27.69977411
2/17/22 23:59,30.25416798
2/18/22 23:59,31.58504488
2/19/22 23:59,32.73550527
2/20/22 23:59,37.46880576
2/21/22 23:59,36.96038219
2/22/22 23:59,39.9608914
2/23/22 23:59,41.17059549
2/24/22 23:59,41.09569901
2/25/22 23:59,38.08187499
2/26/22 23:59,41.68310097
2/27/22 23:59,41.30084608
2/28/22 23:59,38.31182799
3/1/22 23:59,35.9661902
3/2/22 23:59,37.07148233
3/3/22 23:59,38.64532822
3/4/22 23:59,40.59724297
3/5/22 23:59,39.49990316
3/6/22 23:59,39.7617575
3/7/22 23:59,37.21557308
3/8/22 23:59,36.1680971
3/9/22 23:59,33.64524078
3/10/22 23:59,30.72334682
3/11/22 23:59,24.54670614
3/12/22 23:59,29.23472318
3/13/22 23:59,30.76984763
3/14/22 23:59,30.46879742
3/15/22 23:59,28.35892521
3/16/22 23:59,30.60029394
3/17/22 23:59,32.63917661
3/18/22 23:59,34.25763038
3/19/22 23:59,33.77803647
3/20/22 23:59,33.96223284
3/21/22 23:59,32.75585495
3/22/22 23:59,34.35162256
3/23/22 23:59,34.52905439
3/24/22 23:59,33.47225771
3/25/22 23:59,33.95431266
3/26/22 23:59,34.21568622
3/27/22 23:59,34.48463029
3/28/22 23:59,34.75062928
3/29/22 23:59,35.01022748
3/30/22 23:59,35.28243638
3/31/22 23:59,35.61246721
4/1/22 23:59,35.92061617
4/2/22 23:59,36.24647513
4/3/22 23:59,36.6093379
4/4/22 23:59,36.97497555
4/5/22 23:59,37.36605312
4/6/22 23:59,37.81078454
4/7/22 23:59,38.26919709
4/8/22 23:59,38.71472678
4/9/22 23:59,39.15266996
4/10/22 23:59,39.58778233
4/11/22 23:59,40.01535061
4/12/22 23:59,40.47472783
4/13/22 23:59,40.9541203
4/14/22 23:59,41.42438996
4/15/22 23:59,41.87474127
4/16/22 23:59,42.31595891
4/17/22 23:59,42.7537871
4/18/22 23:59,43.19127678
4/19/22 23:59,43.635962
4/20/22 23:59,44.0880528
4/21/22 23:59,44.51523454
4/22/22 23:59,44.9398054
4/23/22 23:59,45.39698713
4/24/22 23:59,45.81170709
4/25/22 23:59,45.68102031
4/26/22 23:59,45.54654828
4/27/22 23:59,45.41354878
4/28/22 23:59,45.28374968
4/29/22 23:59,45.14764523
4/30/22 23:59,44.98262981
5/1/22 23:59,44.82855534
5/2/22 23:59,44.66562585
5/3/22 23:59,44.48419447
5/4/22 23:59,44.30137565
5/5/22 23:59,44.10583686
5/6/22 23:59,43.88347115
5/7/22 23:59,43.65426487
5/8/22 23:59,43.43150003
5/9/22 23:59,43.21252844
5/10/22 23:59,42.99497225
5/11/22 23:59,42.78118811
5/12/22 23:59,42.55149951
5/13/22 23:59,42.31180327
5/14/22 23:59,42.07666844
5/15/22 23:59,41.85149279
5/16/22 23:59,41.63088397
5/17/22 23:59,41.41196987
5/18/22 23:59,41.19322503
