Date,x
1/1/22 23:59,3.50558612
1/2/22 23:59,3.50558612
1/3/22 23:59,3.50558612
1/4/22 23:59,3.50558612
1/5/22 23:59,3.50558612
1/6/22 23:59,3.50558612
1/7/22 23:59,3.50558612
1/8/22 23:59,3.50558612
1/9/22 23:59,3.50558612
1/10/22 23:59,3.50558612
1/11/22 23:59,3.50558612
1/12/22 23:59,3.50558612
1/13/22 23:59,3.50558612
1/14/22 23:59,3.50558612
1/15/22 23:59,3.50558612
1/16/22 23:59,3.50558612
1/17/22 23:59,3.50558612
1/18/22 23:59,3.50558612
1/19/22 23:59,3.50558612
1/20/22 23:59,11.80081627
1/21/22 23:59,11.80081627
1/22/22 23:59,11.80081627
1/23/22 23:59,11.80081627
1/24/22 23:59,11.80081627
1/25/22 23:59,11.80081627
1/26/22 23:59,11.80081627
1/27/22 23:59,11.80081627
1/28/22 23:59,11.80081627
1/29/22 23:59,11.80081627
1/30/22 23:59,11.80081627
1/31/22 23:59,5.241496162
2/1/22 23:59,5.241496162
2/2/22 23:59,5.241496162
2/3/22 23:59,5.241496162
2/4/22 23:59,5.241496162
2/5/22 23:59,5.241496162
2/6/22 23:59,5.241496162
2/7/22 23:59,5.241496162
2/8/22 23:59,5.241496162
2/9/22 23:59,5.241496162
2/10/22 23:59,5.241496162
2/11/22 23:59,5.241496162
2/12/22 23:59,5.241496162
2/13/22 23:59,5.241496162
2/14/22 23:59,5.241496162
2/15/22 23:59,5.241496162
2/16/22 23:59,5.241496162
2/17/22 23:59,5.241496162
2/18/22 23:59,5.241496162
2/19/22 23:59,3.542725531
2/20/22 23:59,3.542725531
2/21/22 23:59,3.542725531
2/22/22 23:59,3.542725531
2/23/22 23:59,3.542725531
2/24/22 23:59,3.542725531
2/25/22 23:59,3.542725531
2/26/22 23:59,3.542725531
2/27/22 23:59,3.542725531
2/28/22 23:59,3.542725531
3/1/22 23:59,3.542725531
3/2/22 23:59,6.499332663
3/3/22 23:59,6.499332663
